V039_1;V039_2;V039_3;V039_4r;V039_5r;V039_6;V039_7;V039_8;V039_9;V039_10;V039_11;V039_12;V039_13;CARIN_Attitude;CARIN_Control;CARIN_Identity;CARIN_Need;CARIN_Reciprocity;CARIN_Total;V036_1r;V036_2;V036_3;V036_4r;V036_5r;V036_6;RWA_Aggression;RWA_Conventionalism;RWA_Submission;RWA_Total;V001;V002;Leeftijd3N;V010at;V010be;V010de;V010es;V010hu;V010it;V010se;Diploma2;V013;cntry;V037_1;V037_2;V037_3;V037_4;V037_5;V037_6;V037_7;V037_8
3;4;4;2;3;3;4;3;1;1;1;3;3;3,5;3,00000000000000;1,00000000000000;3,0;3,33333333333333;2,69230769230769;6;2;1;1;2;7;4,5;1,0;4,0;3,16666666666667;2;62;3; ; ; ;5; ; ; ;1;2;4;1;1;4;6;5;4;4;5
3;1;1;5;1;1;1;1;1;1;1;2;1;2,0;2,33333333333333;1,00000000000000;1,5;1,00000000000000;1,53846153846154;6;1;1;1;5;5;5,0;1,0;3,5;3,16666666666667;2;43;2; ; ; ;22; ; ; ;2;2;4;1;1;7;3;1;1;6;6
3;1;1;5;5;1;2;1;1;1;1;1;2;2,0;3,66666666666667;1,00000000000000;1,5;1,33333333333333;1,92307692307692;4;1;2;1;6;5;5,5;1,5;2,5;3,16666666666667;2;34;1; ; ; ;26; ; ; ;2;6;4;1;1;7;7;1;1;7;7
1;1;1;5;5;1;3;4;1;1;1;1;1;1,0;3,66666666666667;1,00000000000000;1,0;2,66666666666667;2,00000000000000;7;1;1;1;5;2;3,5;1,0;4,0;2,83333333333333;2;53;2; ; ; ;17; ; ; ;1;5;4;1;1;7;7;7;1;7;7
5;5;5;1;1;5;5;5;1;5;5;5;1;5,0;2,33333333333333;3,66666666666667;3,0;5,00000000000000;3,76923076923077;4;4;1;1;7;6;6,5;1,0;4,0;3,83333333333333;1;40;2; ; ; ;26; ; ; ;2;2;4;4;1;7;7;7;7;7;7
5;5;5;1;1;5;5;5;5;5;5;5;5;5,0;2,33333333333333;5,00000000000000;5,0;5,00000000000000;4,38461538461539;7;1;1;1;7;7;7,0;1,0;4,0;4,00000000000000;1;40;2; ; ; ;26; ; ; ;2;3;4;1;1;7;7;1;1;7;7
5;5;5;1;1;5;5;5;5;5;5;5;5;5,0;2,33333333333333;5,00000000000000;5,0;5,00000000000000;4,38461538461539;7;7;1;1;7;1;4,0;1,0;7,0;4,00000000000000;1;40;2; ; ; ;26; ; ; ;2;3;4;1;1;7;1;7;1;7;7
5;5;5;1;1;5;5;5;5;5;5;5;5;5,0;2,33333333333333;5,00000000000000;5,0;5,00000000000000;4,38461538461539;7;1;1;1;1;1;1,0;1,0;4,0;2,00000000000000;1;40;2; ; ; ;26; ; ; ;2;3;4;1;1;7;1;1;1;7;7
5;5;5;1;1;5;5;5;5;5;5;5;5;5,0;2,33333333333333;5,00000000000000;5,0;5,00000000000000;4,38461538461539;7;1;1;1;7;1;4,0;1,0;4,0;3,00000000000000;1;40;2; ; ; ;26; ; ; ;2;3;4;1;1;7;1;7;7;7;7
5;5;5;1;1;5;5;5;5;5;5;5;5;5,0;2,33333333333333;5,00000000000000;5,0;5,00000000000000;4,38461538461539;7;1;1;1;7;1;4,0;1,0;4,0;3,00000000000000;1;40;2; ; ; ;26; ; ; ;2;3;4;1;1;7;1;7;7;7;7
